Gemeinde,Unfälle-mit-Sachschaden,Unfälle-mit-Personenschaden,Getötete,Schwerverletzte,Lebensbedrohlich-Verletzte,Erheblich-Verletzte
Albula/Alvra,29,8,0,1,0,1
Andeer,10,5,0,2,0,2
Arosa,47,3,0,1,0,1
Avers,2,0,0,0,0,0
Bergün Filisur,12,4,0,0,0,0
Bever,11,1,0,0,0,0
Bonaduz,13,5,0,0,0,0
Bregaglia,39,5,0,0,0,0
Breil/Brigels,16,5,1,2,0,2
Brusio,9,4,0,0,0,0
Buseno,1,1,0,0,0,0
Calanca,5,1,0,0,0,0
Cama,5,0,0,0,0,0
Castaneda,1,0,0,0,0,0
Cazis,20,3,1,1,0,1
Celerina/Schlarigna,26,3,0,0,0,0
Chur,279,100,2,11,0,11
Churwalden,30,3,0,1,0,1
Conters im Prättigau,1,0,0,0,0,0
Davos,94,25,1,5,0,5
Disentis/Mustér,20,4,1,0,0,0
Domat/Ems,45,15,0,5,2,3
Domleschg,18,1,0,0,0,0
Falera,1,1,0,0,0,0
Felsberg,2,2,0,0,0,0
Ferrera,1,1,0,0,0,0
Fideris,7,2,0,1,0,1
Fläsch,8,2,0,0,0,0
Flerden,1,0,0,0,0,0
Flims,21,5,0,0,0,0
Furna,0,0,0,0,0,0
Fürstenau,8,0,0,0,0,0
Grono,10,3,0,1,0,1
Grüsch,10,2,0,0,0,0
Ilanz/Glion,42,6,0,0,0,0
Jenaz,6,3,0,0,0,0
Jenins,3,1,0,0,0,0
Klosters,44,8,0,2,0,2
Küblis,2,1,0,1,1,0
Laax,12,6,0,0,0,0
Landquart,40,19,0,3,0,3
Lantsch/Lenz,16,0,0,0,0,0
La Punt Chamues-ch,4,2,0,0,0,0
Lostallo,13,0,0,0,0,0
Lumnezia,8,2,0,0,0,0
Luzein,11,6,1,1,0,1
Madulain,7,0,0,0,0,0
Maienfeld,42,12,0,4,2,2
Malans,14,9,0,0,0,0
Masein,3,3,0,0,0,0
Medel (Lucmagn),11,3,1,0,0,0
Mesocco,32,9,1,5,0,5
Muntogna da Schons,3,2,0,0,0,0
Obersaxen Mundaun,7,0,0,0,0,0
Pontresina,35,7,0,5,0,5
Poschiavo,44,13,0,3,0,3
Rhäzüns,8,1,0,0,0,0
Rheinwald,16,3,0,0,0,0
Rongellen,2,1,0,0,0,0
Rossa,5,0,0,0,0,0
Rothenbrunnen,9,3,0,1,0,1
Roveredo,10,3,0,1,0,1
Safiental,8,1,0,2,0,2
Sagogn,5,1,0,1,0,1
Samedan,20,3,0,1,0,1
Samnaun,18,1,0,1,0,1
Santa Maria in Calanca,0,0,0,0,0,0
San Vittore,12,1,0,0,0,0
S-chanf,24,1,0,1,0,1
Scharans,1,1,0,0,0,0
Schiers,20,6,0,1,1,0
Schluein,16,1,0,0,0,0
Schmitten (GR),9,1,1,0,0,0
Scuol,60,9,1,1,0,1
Seewis im Prättigau,9,1,0,0,0,0
Sils im Domleschg,21,6,0,1,0,1
Sils im Engadin/Segl,13,4,0,2,1,1
Silvaplana,29,3,0,0,0,0
Soazza,4,1,1,0,0,0
St. Moritz,31,8,1,1,0,1
Sufers,13,1,0,0,0,0
Sumvitg,9,1,0,0,0,0
Surses,65,17,0,3,0,3
Tamins,9,1,0,0,0,0
Thusis,21,5,0,3,0,3
Trimmis,23,4,0,1,0,1
Trin,6,1,0,0,0,0
Trun,8,2,0,0,0,0
Tschappina,2,0,0,0,0,0
Tujetsch,6,10,0,2,1,1
Untervaz,8,3,0,0,0,0
Urmein,2,0,0,0,0,0
Val Müstair,40,10,0,0,0,0
Vals,3,0,0,0,0,0
Valsot,24,2,0,1,0,1
Vaz/Obervaz,27,6,0,1,0,1
Zernez,62,12,3,3,0,3
Zillis-Reischen,4,1,0,0,0,0
Zizers,24,13,0,2,0,2
Zuoz,15,3,1,0,0,0
