Gemeinde,Population,Age_0_19,Age_20_64,65 Jahre und mehr,Households,Total_Area_km2,Forest_Vegetation_pct
Vaz/Obervaz,2786.0,16.7623833453,60.1938262742,23.0437903805,1327.0,42.51,39.7411764706
Lantsch/Lenz,539.0,16.6975881262,60.1113172542,23.1910946197,262.0,21.81,34.5854328905
Schmitten (GR),221.0,11.3122171946,56.1085972851,32.5791855204,108.0,11.35,57.5971731449
Albula/Alvra,1283.0,15.4325798909,60.0155884645,24.5518316446,579.0,93.93,46.3232946685
Surses,2327.0,13.8805328749,56.8972926515,29.2221744736,1139.0,323.77,18.2640926641
Bergün Filisur,898.0,15.9242761693,59.4654788419,24.6102449889,404.0,190.14,27.5417937125
Brusio,1120.0,14.6428571429,56.1607142857,29.1964285714,476.0,46.3,55.6324324324
Poschiavo,3493.0,19.3243630117,55.1388491268,25.5367878614,1468.0,191.01,33.4450437241
Falera,620.0,18.7096774194,52.9032258065,28.3870967742,269.0,22.36,20.0447427293
Laax,1885.0,14.5358090186,62.4933687003,22.9708222812,951.0,31.71,30.8396464646
Sagogn,728.0,21.5659340659,55.3571428571,23.0769230769,322.0,6.92,58.9928057554
Schluein,612.0,17.4836601307,64.3790849673,18.137254902,294.0,4.79,56.340956341
Vals,979.0,14.708886619,62.1041879469,23.1869254341,476.0,175.56,12.2393162393
Lumnezia,2019.0,13.9177810797,56.7607726597,29.3214462605,922.0,165.48,21.7238878143
Ilanz/Glion,4757.0,18.4359890687,58.7134748791,22.8505360521,2112.0,133.48,37.8447242206
Fürstenau,357.0,20.7282913165,55.7422969188,23.5294117647,159.0,1.32,33.0769230769
Rothenbrunnen,304.0,19.7368421053,62.1710526316,18.0921052632,131.0,3.11,68.3870967742
Scharans,790.0,21.0126582278,56.835443038,22.1518987342,336.0,14.29,64.1007697691
Sils im Domleschg,960.0,23.2291666667,54.7916666667,21.9791666667,402.0,9.28,70.4301075269
Cazis,2264.0,19.9204946996,59.8498233216,20.2296819788,944.0,31.18,36.5064102564
Flerden,247.0,27.9352226721,53.4412955466,18.6234817814,97.0,6.09,30.8072487644
Masein,498.0,22.8915662651,60.843373494,16.265060241,199.0,4.2,52.9832935561
Thusis,3278.0,18.7004270897,61.1043319097,20.1952410006,1502.0,16.77,61.7313432836
Tschappina,133.0,16.5413533835,53.3834586466,30.0751879699,56.0,24.67,27.6043777868
Urmein,147.0,17.0068027211,44.2176870748,38.7755102041,71.0,4.33,41.0138248848
Safiental,903.0,20.2657807309,54.1528239203,25.5813953488,376.0,151.42,31.0857218333
Domleschg,2113.0,20.0662565073,60.3880738287,19.545669664,903.0,45.94,49.3037423847
Avers,171.0,18.7134502924,54.3859649123,26.9005847953,75.0,93.12,6.0270734852
Sufers,145.0,26.8965517241,46.2068965517,26.8965517241,58.0,34.62,25.9259259259
Andeer,906.0,19.8675496689,52.7593818985,27.3730684327,412.0,46.3,44.2958809575
Rongellen,53.0,20.7547169811,69.8113207547,9.4339622642,20.0,2.02,64.2156862745
Zillis-Reischen,396.0,17.9292929293,61.6161616162,20.4545454545,178.0,24.47,44.8896156991
Ferrera,80.0,8.75,56.25,35.0,43.0,75.46,17.948038176
Rheinwald,581.0,16.8674698795,53.0120481928,30.1204819277,273.0,136.82,14.4484193619
Muntogna da Schons,360.0,19.1666666667,59.4444444444,21.3888888889,158.0,53.59,16.946935725
