Gemeindecode,Gemeinde,Einwohner,Einwohner_Veraenderung_Prozent,Bevoelkerungsdichte_km2,Auslaender_Prozent,Alter_0_19_Jahre,Alter_20_64_Jahre,Alter_65_Plus_Jahre,Heiratsziffer,Scheidungsziffer,Geburtenziffer,Sterbeziffer,Privathaushalte_Anzahl,Haushaltsgroesse_Durchschnitt,Flaeche_Total_km2,Flaeche_Siedlung_Prozent,Flaeche_Siedlung_Veraenderung_ha,Flaeche_Landwirtschaft_Prozent,Flaeche_Landwirtschaft_Veraenderung_ha,Flaeche_Unproduktiv_Prozent,Beschaeftigte_Total,Beschaeftigte_Sektor1,Beschaeftigte_Sektor2,Beschaeftigte_Sektor3,Arbeitsstaetten_Total,Arbeitsstaetten_Sektor1,Arbeitsstaetten_Sektor2,Arbeitsstaetten_Sektor3,Leerwohnungsziffer,Neubauwohnungen_pro_1000_Einwohner,Sozialhilfequote
3506,Vaz/Obervaz,2786.0,6.6615620214,65.5375205834,22.936109117,16.7623833453,60.1938262742,23.0437903805,5.3898670499,1.07797341,9.3424362199,6.4678404599,1327.0,2.0753579503,42.51,7.0352941176,35.0,40.4,-145.0,12.8235294118,2753,70,333,2350,357,29,48,280,0.2810962755,12.1278941566,0.29
3513,Lantsch/Lenz,539.0,1.3157894737,24.7134342045,17.439703154,16.6975881262,60.1113172542,23.1910946197,1.8621973929,1.8621973929,7.4487895717,13.0353817505,262.0,2.0038167939,21.81,3.9395327531,12.0,27.256069629,-17.0,34.2189647274,184,22,12,150,58,7,5,46,1.0152284264,1.8050541516,0.0
3514,Schmitten (GR),221.0,-13.671875,19.4713656388,10.8597285068,11.3122171946,56.1085972851,32.5791855204,4.3956043956,0.0,0.0,13.1868131868,108.0,1.962962963,11.35,1.8551236749,5.0,25.7950530035,-7.0,14.7526501767,69,5,50,14,0,0,0,9,2.5454545455,0.0,0.0
3542,Albula/Alvra,1283.0,-5.8694057227,13.6591078463,14.8869836321,15.4325798909,60.0155884645,24.5518316446,3.8565368299,2.313922098,6.1704589279,13.1122252218,579.0,2.1761658031,93.93,2.7881238693,58.0,28.0621474939,-137.0,22.8264339683,714,104,98,512,172,44,27,101,1.5475313191,0.0,0.0
3543,Surses,2327.0,-4.4745484401,7.1872007907,14.9548775247,13.8805328749,56.8972926515,29.2221744736,5.5519965834,1.2812299808,5.1249199231,8.5415332052,1139.0,2.0254609306,323.77,1.0594594595,63.0,41.6895752896,-451.0,38.9868725869,1426,187,325,914,305,66,57,182,1.3149385643,15.3649167734,0.38
3544,Bergün Filisur,898.0,-5.2742616034,4.7228358052,17.5946547884,15.9242761693,59.4654788419,24.6102449889,4.4370493622,1.1092623405,6.6555740433,4.4370493622,404.0,2.1435643564,190.14,0.9778151614,23.0,19.8244138366,-415.0,51.6559772895,571,127,104,340,112,21,20,71,1.1774600505,2.1881838074,0.0
3551,Brusio,1120.0,-0.267141585,24.1900647948,14.1071428571,14.6428571429,56.1607142857,29.1964285714,1.7913121361,0.8956560681,4.4782803403,11.6435288849,476.0,2.3109243697,46.3,2.4648648649,26.0,15.3081081081,-187.0,26.5945945946,857,149,402,306,127,23,31,73,0.9070294785,0.0,0.63
3561,Poschiavo,3493.0,-0.3707929264,18.2870006806,8.6458631549,19.3243630117,55.1388491268,25.5367878614,3.7095163361,0.2853474105,7.1336852618,10.5578541875,1468.0,2.3092643052,191.01,1.7699115044,56.0,18.9610933655,-446.0,45.823951406,2165,214,635,1316,425,66,100,259,2.8248587571,1.1376564278,0.46
3572,Falera,620.0,7.0811744387,27.7280858676,13.5483870968,18.7096774194,52.9032258065,28.3870967742,3.2388663968,0.0,4.8582995951,8.0971659919,269.0,2.3011152416,22.36,2.6398210291,18.0,60.0,-79.0,17.3154362416,240,29,59,152,0,11,0,28,1.1895910781,8.025682183,0.0
3575,Laax,1885.0,40.044576523,59.444970041,19.7347480106,14.5358090186,62.4933687003,22.9708222812,6.4119690088,3.2059845044,5.3433075073,6.4119690088,951.0,1.9074658254,31.71,3.9772727273,24.0,34.2171717172,-52.0,30.9659090909,1445,24,123,1298,179,11,29,139,2.7256814204,20.5128205128,0.0
